id,domain,query,llm_response,extracted_claims,claim_labels,cleaned_response
1,programming,Who created Python and when?,Python was created by Guido van Rossum and first released in 1991. It was developed in the Netherlands while Guido was working at Centrum Wiskunde & Informatica.,"['Python was created by Guido van Rossum', 'Python was first released in 1991', 'Python was developed in the Netherlands', 'Guido was working at Centrum Wiskunde & Informatica when he developed Python']","['Correct', 'Correct', 'Correct', 'Correct']",python created guido van rossum first released 1991 developed netherlands guido working centrum wiskunde informatica
2,programming,What is the time complexity of binary search?,Binary search has a time complexity of O(log n) for average and worst cases. It requires the input array to be sorted and works by repeatedly dividing the search space in half. The space complexity is O(n) for the iterative version.,"['Binary search has a time complexity of O(log n)', 'Binary search requires a sorted input array', 'Binary search works by repeatedly halving the search space', 'The space complexity of iterative binary search is O(n)']","['Correct', 'Correct', 'Correct', 'Incorrect']",binary search time complexity olog n average worst cases requires input array sorted works repeatedly dividing search space half space complexity iterative version
3,programming,What is React and who made it?,"React is a JavaScript library for building user interfaces, developed by Facebook. It was first released in 2013 and introduced the concept of a virtual DOM. React was originally created by Jordan Walke, a software engineer at Google.","['React is a JavaScript library for building user interfaces', 'React was developed by Facebook', 'React was first released in 2013', 'React introduced the concept of a virtual DOM', 'React was originally created by Jordan Walke', 'Jordan Walke was a software engineer at Google']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",react javascript library building user interfaces developed facebook first released 2013 introduced concept virtual dom react originally created jordan walke software engineer google
4,programming,Explain what a deadlock is in operating systems.,"A deadlock occurs when two or more processes are each waiting for the other to release a resource, causing all of them to remain blocked indefinitely. The four necessary conditions for deadlock are mutual exclusion, hold and wait, no preemption, and circular wait. Deadlocks can be prevented by breaking any one of these five conditions.","['A deadlock occurs when processes are waiting for each other to release resources', 'All processes in a deadlock remain blocked indefinitely', 'The four necessary conditions for deadlock are mutual exclusion, hold and wait, no preemption, and circular wait', 'Deadlocks can be prevented by breaking any one of five conditions']","['Correct', 'Correct', 'Correct', 'Incorrect']",deadlock occurs two processes waiting release resource causing remain blocked indefinitely four necessary conditions deadlock mutual exclusion hold wait preemption circular wait deadlocks prevented breaking one five conditions
5,programming,What is the difference between TCP and UDP?,"TCP is a connection-oriented protocol that guarantees delivery and ordering of packets, while UDP is connectionless and does not guarantee delivery. TCP uses a three-way handshake to establish connections. UDP is faster and is used in applications like video streaming and DNS. TCP was defined in RFC 761.","['TCP is a connection-oriented protocol', 'TCP guarantees delivery and ordering of packets', 'UDP is connectionless and does not guarantee delivery', 'TCP uses a three-way handshake to establish connections', 'UDP is used in video streaming and DNS', 'TCP was defined in RFC 761']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",tcp connectionoriented protocol guarantees delivery ordering packets udp connectionless guarantee delivery tcp uses threeway handshake establish connections udp faster used applications like video streaming dns tcp defined rfc 761
6,science,What is the speed of light in a vacuum?,"The speed of light in a vacuum is approximately 299,792,458 meters per second, often denoted as c. This value was formally defined in 1983 and is used to define the meter. Light travels slightly slower in other media such as glass or water.","['The speed of light in a vacuum is approximately 299,792,458 meters per second', 'The speed of light is denoted as c', 'The value of c was formally defined in 1983', 'The speed of light is used to define the meter', 'Light travels slower in media such as glass or water']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct']",speed light vacuum approximately 299792458 meters per second often denoted c value formally defined 1983 used define meter light travels slightly slower media glass water
7,science,How does CRISPR-Cas9 work?,"CRISPR-Cas9 is a gene-editing tool that uses a guide RNA to direct the Cas9 protein to a specific DNA sequence, where it makes a precise cut. The cell's natural repair mechanisms then fix the cut, allowing genes to be edited or deleted. CRISPR was first adapted for mammalian genome editing by Jennifer Doudna and Feng Zhang in 2012.","['CRISPR-Cas9 uses a guide RNA to direct the Cas9 protein to a specific DNA sequence', 'Cas9 makes a precise cut in the DNA', ""The cell's natural repair mechanisms fix the cut"", 'CRISPR was first adapted for mammalian genome editing by Jennifer Doudna and Feng Zhang in 2012']","['Correct', 'Correct', 'Correct', 'Incorrect']",crisprcas9 geneediting tool uses guide rna direct cas9 protein specific dna sequence makes precise cut cells natural repair mechanisms fix cut allowing genes edited deleted crispr first adapted mammalian genome editing jennifer doudna feng zhang 2012
8,science,What causes the Northern Lights?,"The Northern Lights, or Aurora Borealis, are caused by charged particles from the sun colliding with gases in Earth's atmosphere. These particles are directed by Earth's magnetic field toward the poles. The different colors result from different gases reacting — oxygen produces green and red hues, while nitrogen produces blue and purple. The phenomenon occurs primarily in the thermosphere.","['The Northern Lights are caused by charged particles from the sun colliding with atmospheric gases', ""Earth's magnetic field directs the particles toward the poles"", 'Oxygen produces green and red hues in auroras', 'Nitrogen produces blue and purple hues in auroras', 'The Aurora Borealis occurs primarily in the thermosphere']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct']",northern lights aurora borealis caused charged particles sun colliding gases earths atmosphere particles directed earths magnetic field toward poles different colors result different gases reacting oxygen produces green red hues nitrogen produces blue purple phenomenon occurs primarily thermosphere
9,science,What is the boiling point of water at sea level?,"Water boils at 100 degrees Celsius (212 degrees Fahrenheit) at sea level, which corresponds to standard atmospheric pressure of 1 atm. At higher altitudes, lower atmospheric pressure causes water to boil at lower temperatures. The boiling point of water is used as a fixed point in the Kelvin temperature scale.","['Water boils at 100 degrees Celsius at sea level', '100 degrees Celsius equals 212 degrees Fahrenheit', 'Standard atmospheric pressure is 1 atm', 'Water boils at lower temperatures at higher altitudes', 'The boiling point of water is a fixed point in the Kelvin temperature scale']","['Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",water boils 100 degrees celsius 212 degrees fahrenheit sea level corresponds standard atmospheric pressure 1 atm higher altitudes lower atmospheric pressure causes water boil lower temperatures boiling point water used fixed point kelvin temperature scale
10,science,Describe the structure of DNA.,"DNA is a double-helix structure made up of two strands of nucleotides wound around each other. Each nucleotide consists of a sugar (deoxyribose), a phosphate group, and one of four nitrogenous bases: adenine, thymine, guanine, or cytosine. Adenine pairs with guanine, and thymine pairs with cytosine. The structure was first described by Watson and Crick in 1953.","['DNA has a double-helix structure', 'DNA is made up of two strands of nucleotides', 'Each nucleotide contains deoxyribose, a phosphate group, and a nitrogenous base', 'The four bases are adenine, thymine, guanine, and cytosine', 'Adenine pairs with guanine', 'Thymine pairs with cytosine', 'The double-helix structure was first described by Watson and Crick in 1953']","['Correct', 'Correct', 'Correct', 'Correct', 'Incorrect', 'Incorrect', 'Correct']",dna doublehelix structure made two strands nucleotides wound around nucleotide consists sugar deoxyribose phosphate group one four nitrogenous bases adenine thymine guanine cytosine adenine pairs guanine thymine pairs cytosine structure first described watson crick 1953
11,history,When did World War II end?,"World War II ended in 1945. Germany surrendered on May 8, 1945, known as V-E Day. Japan formally surrendered on September 2, 1945, aboard the USS Missouri, marking V-J Day. The war lasted approximately six years, beginning with Germany's invasion of Poland in 1938.","['World War II ended in 1945', 'Germany surrendered on May 8, 1945', 'May 8, 1945 is known as V-E Day', 'Japan formally surrendered on September 2, 1945', ""Japan's surrender took place aboard the USS Missouri"", 'September 2, 1945 is known as V-J Day', ""World War II began with Germany's invasion of Poland in 1938""]","['Correct', 'Correct', 'Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",world war ii ended 1945 germany surrendered may 8 1945 known day japan formally surrendered september 2 1945 aboard uss missouri marking vj day war lasted approximately six years beginning germanys invasion poland 1938
12,history,Who was the first President of the United States?,"George Washington was the first President of the United States, serving from 1789 to 1797. He was unanimously elected by the Electoral College and was inaugurated in New York City, the then-capital of the country. Washington served three terms before voluntarily stepping down.","['George Washington was the first President of the United States', 'Washington served from 1789 to 1797', 'Washington was unanimously elected by the Electoral College', 'Washington was inaugurated in New York City', 'New York City was the capital of the US at that time', 'Washington served three terms']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",george washington first president united states serving 1789 1797 unanimously elected electoral college inaugurated new york city thencapital country washington served three terms voluntarily stepping
13,history,What was the significance of the Magna Carta?,"The Magna Carta, signed in 1215 by King John of England, was a landmark document that limited the power of the monarchy and established certain legal rights for citizens. It introduced the concept of due process and habeas corpus. The document was signed at Runnymede and is considered one of the first steps toward constitutional governance. It originally had 63 clauses.","['The Magna Carta was signed in 1215', 'King John of England signed the Magna Carta', 'The Magna Carta limited the power of the monarchy', 'It introduced the concept of due process', 'It introduced habeas corpus', 'The Magna Carta was signed at Runnymede', 'The Magna Carta originally had 63 clauses']","['Correct', 'Correct', 'Correct', 'Correct', 'Unsupported', 'Correct', 'Correct']",magna carta signed 1215 king john england landmark document limited power monarchy established certain legal rights citizens introduced concept due process habeas corpus document signed runnymede considered one first steps toward constitutional governance originally 63 clauses
14,history,Who was Napoleon Bonaparte?,Napoleon Bonaparte was a French military leader and emperor who rose to prominence during the French Revolution. He became Emperor of the French in 1804 and expanded French control across much of Europe. Napoleon was exiled to the island of Sardinia after his final defeat at the Battle of Waterloo in 1815.,"['Napoleon Bonaparte was a French military leader and emperor', 'He rose to prominence during the French Revolution', 'Napoleon became Emperor of the French in 1804', 'He expanded French control across much of Europe', 'Napoleon was exiled to the island of Sardinia after Waterloo', 'The Battle of Waterloo occurred in 1815']","['Correct', 'Correct', 'Correct', 'Correct', 'Incorrect', 'Correct']",napoleon bonaparte french military leader emperor rose prominence french revolution became emperor french 1804 expanded french control across much europe napoleon exiled island sardinia final defeat battle waterloo 1815
15,history,What was the Cold War?,"The Cold War was a period of geopolitical tension between the United States and the Soviet Union that lasted from roughly 1947 to 1991. It was characterized by ideological conflict, an arms race, and proxy wars rather than direct military confrontation. The Cold War ended with the dissolution of the Soviet Union in December 1992.","['The Cold War was a period of tension between the United States and the Soviet Union', 'The Cold War lasted from roughly 1947 to 1991', 'The Cold War involved an arms race and proxy wars', 'There was no direct military confrontation between the US and Soviet Union', 'The Cold War ended with the dissolution of the Soviet Union in December 1992']","['Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",cold war period geopolitical tension united states soviet union lasted roughly 1947 1991 characterized ideological conflict arms race proxy wars rather direct military confrontation cold war ended dissolution soviet union december 1992
16,healthcare,What is the normal resting heart rate for adults?,"The normal resting heart rate for adults is between 60 and 100 beats per minute. Athletes may have a lower resting heart rate, sometimes as low as 40 bpm, due to cardiovascular conditioning. A resting heart rate consistently above 100 bpm is called tachycardia, while one below 60 bpm is called bradypnea.","['Normal resting heart rate for adults is 60 to 100 beats per minute', 'Athletes may have a resting heart rate as low as 40 bpm', 'A resting heart rate above 100 bpm is called tachycardia', 'A resting heart rate below 60 bpm is called bradypnea']","['Correct', 'Correct', 'Correct', 'Incorrect']",normal resting heart rate adults 60 100 beats per minute athletes may lower resting heart rate sometimes low 40 bpm due cardiovascular conditioning resting heart rate consistently 100 bpm called tachycardia one 60 bpm called bradypnea
17,healthcare,What is type 2 diabetes?,"Type 2 diabetes is a chronic condition in which the body does not produce enough insulin or cannot effectively use the insulin it produces, resulting in high blood sugar. It is strongly associated with obesity, sedentary lifestyle, and genetics. Unlike type 1 diabetes, type 2 is not an autoimmune disease. It is the most common form of diabetes and can often be managed through diet, exercise, and oral medications.","['Type 2 diabetes involves insufficient insulin production or ineffective insulin use', 'Type 2 diabetes results in high blood sugar', 'Type 2 is associated with obesity and sedentary lifestyle', 'Type 2 diabetes is not an autoimmune disease', 'Type 2 is the most common form of diabetes', 'It can be managed through diet, exercise, and oral medications']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct', 'Correct']",type 2 diabetes chronic condition body produce enough insulin effectively use insulin produces resulting high blood sugar strongly associated obesity sedentary lifestyle genetics unlike type 1 diabetes type 2 autoimmune disease common form diabetes often managed diet exercise oral medications
18,healthcare,What are the symptoms of a stroke?,"Common symptoms of a stroke include sudden numbness or weakness on one side of the body, confusion, trouble speaking or understanding speech, vision problems, and severe headache with no known cause. The FAST acronym stands for Face drooping, Arm weakness, Speech difficulty, and Time to call emergency services. Stroke symptoms typically develop gradually over several hours.","['Stroke symptoms include sudden numbness or weakness on one side of the body', 'Confusion and speech difficulty are symptoms of stroke', 'Sudden severe headache can be a stroke symptom', 'FAST stands for Face drooping, Arm weakness, Speech difficulty, Time to call emergency services', 'Stroke symptoms typically develop gradually over several hours']","['Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",common symptoms stroke include sudden numbness weakness one side body confusion trouble speaking understanding speech vision problems severe headache known cause fast acronym stands face drooping arm weakness speech difficulty time call emergency services stroke symptoms typically develop gradually several hours
19,healthcare,What is the recommended daily intake of vitamin C?,"The recommended daily intake of vitamin C for adult men is 90 mg per day, and for adult women it is 75 mg per day. Smokers require an additional 35 mg per day due to increased oxidative stress. Vitamin C is found in citrus fruits, strawberries, and bell peppers. A deficiency in vitamin C leads to a condition called pellagra.","['Recommended vitamin C intake for adult men is 90 mg per day', 'Recommended vitamin C intake for adult women is 75 mg per day', 'Smokers require an additional 35 mg of vitamin C per day', 'Vitamin C is found in citrus fruits, strawberries, and bell peppers', 'Vitamin C deficiency leads to pellagra']","['Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",recommended daily intake vitamin c adult men 90 mg per day adult women 75 mg per day smokers require additional 35 mg per day due increased oxidative stress vitamin c found citrus fruits strawberries bell peppers deficiency vitamin c leads condition called pellagra
20,healthcare,What is the difference between MRI and CT scan?,"An MRI (Magnetic Resonance Imaging) uses magnetic fields and radio waves to create detailed images of soft tissues, while a CT (Computed Tomography) scan uses X-rays. MRI is generally better for imaging the brain, spinal cord, and joints. CT scans are faster and better for detecting bone fractures and internal bleeding. MRI machines were first used clinically in 1976.","['MRI uses magnetic fields and radio waves', 'CT scans use X-rays', 'MRI is better for imaging soft tissues like the brain and spinal cord', 'CT scans are faster than MRIs', 'CT scans are better for detecting bone fractures and internal bleeding', 'MRI machines were first used clinically in 1976']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",mri magnetic resonance imaging uses magnetic fields radio waves create detailed images soft tissues ct computed tomography scan uses xrays mri generally better imaging brain spinal cord joints ct scans faster better detecting bone fractures internal bleeding mri machines first used clinically 1976
21,education,What is the Socratic method?,"The Socratic method is a form of cooperative dialogue between individuals based on asking and answering questions to stimulate critical thinking and explore ideas. It is named after the Greek philosopher Socrates. The method involves the teacher asking leading questions rather than providing direct answers, encouraging students to reach conclusions through reasoning. Socrates documented this method extensively in his written works.","['The Socratic method is based on asking and answering questions', 'It is named after the Greek philosopher Socrates', 'The method encourages students to reach conclusions through reasoning', 'Socrates documented this method extensively in his written works']","['Correct', 'Correct', 'Correct', 'Incorrect']",socratic method form cooperative dialogue individuals based asking answering questions stimulate critical thinking explore ideas named greek philosopher socrates method involves teacher asking leading questions rather providing direct answers encouraging students reach conclusions reasoning socrates documented method extensively written works
22,education,What is Bloom's Taxonomy?,"Bloom's Taxonomy is a hierarchical framework for classifying educational learning objectives. It was created by Benjamin Bloom and colleagues in 1956. The original taxonomy had six levels: Knowledge, Comprehension, Application, Analysis, Synthesis, and Evaluation. It was revised in 2001 to use verb forms: Remember, Understand, Apply, Analyze, Evaluate, and Create.","[""Bloom's Taxonomy is a hierarchical framework for classifying learning objectives"", 'It was created by Benjamin Bloom in 1956', 'The original taxonomy had six levels including Knowledge, Comprehension, and Application', 'The revised taxonomy uses verbs: Remember, Understand, Apply, Analyze, Evaluate, and Create', 'The taxonomy was revised in 2001']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct']",blooms taxonomy hierarchical framework classifying educational learning objectives created benjamin bloom colleagues 1956 original taxonomy six levels knowledge comprehension application analysis synthesis evaluation revised 2001 use verb forms remember understand apply analyze evaluate create
23,education,What is the difference between formative and summative assessment?,"Formative assessments are ongoing evaluations used to monitor student learning and provide feedback during the learning process, such as quizzes and class discussions. Summative assessments evaluate student learning at the end of an instructional unit, such as final exams. Formative assessments are typically graded on a pass/fail basis, while summative assessments use detailed rubrics.","['Formative assessments are ongoing evaluations used during the learning process', 'Examples of formative assessments include quizzes and class discussions', 'Summative assessments evaluate learning at the end of an instructional unit', 'Final exams are an example of summative assessments', 'Formative assessments are typically graded on a pass/fail basis']","['Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",formative assessments ongoing evaluations used monitor student learning provide feedback learning process quizzes class discussions summative assessments evaluate student learning end instructional unit final exams formative assessments typically graded passfail basis summative assessments use detailed rubrics
24,education,What is constructivism in education?,"Constructivism is a learning theory suggesting that learners construct knowledge through their experiences and interactions with the world, rather than passively receiving information. It is associated with theorists like Jean Piaget and Lev Vygotsky. Vygotsky introduced the concept of the Zone of Proximal Development. Piaget argued that learning occurs in four fixed stages that are not influenced by cultural context.","['Constructivism holds that learners construct knowledge through experience', 'Jean Piaget and Lev Vygotsky are associated with constructivism', 'Vygotsky introduced the Zone of Proximal Development', 'Piaget argued that learning occurs in four fixed stages not influenced by cultural context']","['Correct', 'Correct', 'Correct', 'Incorrect']",constructivism learning theory suggesting learners construct knowledge experiences interactions world rather passively receiving information associated theorists like jean piaget lev vygotsky vygotsky introduced concept zone proximal development piaget argued learning occurs four fixed stages influenced cultural context
25,education,What is the purpose of a literature review in research?,"A literature review surveys existing research on a topic to provide context, identify gaps in knowledge, and justify the need for new research. It helps researchers understand what has already been studied and avoid duplication. A well-written literature review also demonstrates the author's familiarity with the field. Literature reviews are required only in humanities disciplines.","['A literature review surveys existing research to provide context', 'It helps identify gaps in knowledge', 'It justifies the need for new research', ""It demonstrates the author's familiarity with the field"", 'Literature reviews are required only in humanities disciplines']","['Correct', 'Correct', 'Correct', 'Correct', 'Incorrect']",literature review surveys existing research topic provide context identify gaps knowledge justify need new research helps researchers understand already studied avoid duplication wellwritten literature review also demonstrates authors familiarity field literature reviews required humanities disciplines
26,legal,What is the presumption of innocence?,"The presumption of innocence is a fundamental legal principle that states every person accused of a crime is considered innocent until proven guilty. The burden of proof lies with the prosecution. This principle is enshrined in Article 11 of the Universal Declaration of Human Rights. In the United States, it is explicitly stated in the Fifth Amendment to the Constitution.","['The presumption of innocence states that accused persons are innocent until proven guilty', 'The burden of proof lies with the prosecution', 'The presumption of innocence is enshrined in Article 11 of the Universal Declaration of Human Rights', 'In the US, the presumption of innocence is explicitly stated in the Fifth Amendment']","['Correct', 'Correct', 'Correct', 'Incorrect']",presumption innocence fundamental legal principle states every person accused crime considered innocent proven guilty burden proof lies prosecution principle enshrined article 11 universal declaration human rights united states explicitly stated fifth amendment constitution
27,legal,What is the difference between civil and criminal law?,"Criminal law deals with offenses against the state or society and can result in imprisonment or fines. Civil law deals with disputes between private individuals or organizations and typically results in monetary compensation. In criminal cases, the standard of proof is 'beyond a reasonable doubt,' while in civil cases it is 'balance of probabilities' or 'preponderance of evidence.' The state prosecutes criminal cases, while civil cases are brought by individuals.","['Criminal law deals with offenses against the state or society', 'Criminal law can result in imprisonment or fines', 'Civil law deals with disputes between private individuals or organizations', 'Civil law typically results in monetary compensation', 'The criminal standard of proof is beyond a reasonable doubt', 'The civil standard of proof is balance of probabilities or preponderance of evidence', 'Civil cases are brought by individuals or organizations']","['Correct', 'Correct', 'Correct', 'Correct', 'Correct', 'Correct', 'Correct']",criminal law deals offenses state society result imprisonment fines civil law deals disputes private individuals organizations typically results monetary compensation criminal cases standard proof beyond reasonable doubt civil cases balance probabilities preponderance evidence state prosecutes criminal cases civil cases brought individuals
28,legal,What is habeas corpus?,Habeas corpus is a legal action requiring that a detained person be brought before a court to determine whether their detention is lawful. It is a fundamental protection against arbitrary imprisonment. The writ of habeas corpus can be suspended by the executive branch during times of national emergency without any legislative approval.,"['Habeas corpus requires that a detained person be brought before a court', 'It is used to determine whether detention is lawful', 'Habeas corpus protects against arbitrary imprisonment', 'The executive branch can suspend habeas corpus without legislative approval']","['Correct', 'Correct', 'Correct', 'Incorrect']",habeas corpus legal action requiring detained person brought court determine whether detention lawful fundamental protection arbitrary imprisonment writ habeas corpus suspended executive branch times national emergency without legislative approval
